Wallet address:	Manager(s):
5CqaZzCxy26KYrhmk4Xb4HNo4rdFr3BvvmUxvaYsRTSwUKAT	🐤 bird
5CkksnLZqVKFS4vC7Xc28L9Pf23YiRKuWeMojcq65PLDBdLB	1️⃣8️⃣0️⃣3️⃣
5GeQYZvYLzMWmUkoR6tUX4Qt1gHE7n8zt8UmtUhSCSU1ugDN	1️⃣8️⃣0️⃣3️⃣
5GP5nvAG1Vr1WJaCXgNwBV4NuM75C7dYfb6nu2gVL2SfgDqx	1️⃣8️⃣0️⃣3️⃣
5D5B1VjEmCBK8zUK4z8LfZdNMe8nJoodncJMCqedi6Tn4jwq	1️⃣8️⃣0️⃣3️⃣
5F6WLcoQbEj2QL6UAvcDZe7WcyvCJrwHR57Snzx6exjxZkKt	1️⃣8️⃣0️⃣3️⃣
5DF18ouoNRA91ueJ7izprfdHcVPcmG4yrxVp7gjJs3o4vGhn	🎯 sniper
5H9Q73mjKov3vEJvEvQNygWyXsmpy3FcyGqAbmHWJ27spNXQ	🎯 sniper
5GKe31ToWPoZxYVqU6SH7dishJRVSyXHkk243NjeEsXVwnsU	🎯 sniper
5E9t1U2GTGkktpKGsM4daUkJxV3JyViessH44KbgozNmprqZ	🐷 piglet
5ETzUbmHkSfPQh8ggfPFbmWrWc9zc34yhvyu45GqnZMhTxp6	🐷 piglet
5GQcTyoyzs58t1mW9nV7fYre4ggnB4SNSqkJTub1xAt8rzh7	🐷 piglet
5Hp9JJfFBbU4QbBn2hMx4zKezDVAwPomLUXtXtUV1Xh7cSHQ	🐷 piglet
5E4wB4mfWfrRW2PqDYzqvf9PApbDwBYzJWoY8HtkPP9qcCbQ	🅰️
5DAifnqgh95CzDpXu3CrPyoXp9MizhfbxQCpy4hnYRwof8Nd	🐷 piglet
5DA8ypY4QqVn2T1mz6umEiYDLtU5DLgHQnK3oACGYbMPCcj6	🅰️
5CZgWJ4jPfbuXZYk78qTXDLurJmcPAtojnzn2JEgaJxFmsP8	🐝 Kstar
5FeDCVmfFZ82Dfqr1X5pSxoCxbqYBk8uUggfKJSzKyrnHHqC	🐝 Kstar
5CwCv1rGFkmFPnPrsVDSMdYoV4q35MffGm6WHdN4e4ULuoXM	🏇 astro
